"","Seller_ID","Product","Seller","Star","No.ofRatings","Price","Shipping_Info","COD","Positive","Amazon_Fulfilled","URL","Rev_URL"
"1","A358H12RHFNIGY","Ganesh Vegetable & Fruit Chopper Cutt...","INDIA RETAIL","4.5","12,821","  Rs. 255.00"," Free Delivery on eligible orders. Details 
","  Rs. 255.00 Free Delivery on eligible orders. Cash on Delivery eligible ","92% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A358H12RHFNIGY","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A358H12RHFNIGY&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"2","A14UQ4H17XUX90","Ganesh Vegetable & Fruit Chopper Cutt...","Cloudtail","4.4","454,420","  Rs. 255.00"," Free Delivery on eligible orders. Details 
","  Rs. 255.00 Free Delivery on eligible orders. Cash on Delivery eligible ","91% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A14UQ4H17XUX90","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A14UQ4H17XUX90&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"3","AR866CMPPWXAH","Ganesh Vegetable & Fruit Chopper Cutt...",NA,"4.6","84","  Rs. 257.00"," FREE Delivery. 
","  Rs. 257.00 FREE Delivery.Cash on Delivery eligible ","95% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_3/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=AR866CMPPWXAH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AR866CMPPWXAH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"4","A38795BN2F85K1","Ganesh Vegetable & Fruit Chopper Cutt...","SHOPPER'S CHOICE","3.5","295","  Rs. 259.00"," Free Delivery on eligible orders. Details 
","  Rs. 259.00 Free Delivery on eligible orders. Cash on Delivery eligible ","64% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_4/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A38795BN2F85K1","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A38795BN2F85K1&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"5","AMEFQDTRODDVH","Ganesh Vegetable & Fruit Chopper Cutt...","Next TO You","4.2","18","  Rs. 261.00"," Free Delivery on eligible orders. Details 
","  Rs. 261.00 Free Delivery on eligible orders. Cash on Delivery eligible ","89% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_5/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=AMEFQDTRODDVH","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AMEFQDTRODDVH&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"6","A2E4FLA5VMHWJQ","Ganesh Vegetable & Fruit Chopper Cutt...","The Home and Kitchen store","4.2","162","  Rs. 262.00"," Free Delivery on eligible orders. Details 
","  Rs. 262.00 Free Delivery on eligible orders. Cash on Delivery eligible ","85% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_6/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A2E4FLA5VMHWJQ","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2E4FLA5VMHWJQ&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"7","A8FEAG2BMFY5U","Ganesh Vegetable & Fruit Chopper Cutt...",NA,"4.4","143","  Rs. 280.00"," Free Delivery on eligible orders. Details 
","  Rs. 280.00 Free Delivery on eligible orders. Cash on Delivery eligible ","88% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_7/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A8FEAG2BMFY5U","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A8FEAG2BMFY5U&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"8","A3L8R6XXQHFTH7","Ganesh Vegetable & Fruit Chopper Cutt...","store of Gifts","3.6","29","  Rs. 299.00"," FREE Delivery. 
","  Rs. 299.00 FREE Delivery.Cash on Delivery eligible ","59% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_8/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A3L8R6XXQHFTH7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3L8R6XXQHFTH7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"9","A26TW223WDQX0K","Ganesh Vegetable & Fruit Chopper Cutt...","Hans Home Appliances",NA,NA,"  Rs. 300.00"," FREE Delivery. 
","  Rs. 300.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_9/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A26TW223WDQX0K","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A26TW223WDQX0K&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"10","A1QYA8GLZZ4ZXK","Ganesh Vegetable & Fruit Chopper Cutt...","One STOP Shop","4.2","991","  Rs. 340.00"," Free Delivery on eligible orders. Details 
","  Rs. 340.00 Free Delivery on eligible orders. Cash on Delivery eligible ","85% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_10/277-7226574-8596367?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A1QYA8GLZZ4ZXK","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1QYA8GLZZ4ZXK&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"11","A2XEGU69DX296U","Ganesh Vegetable & Fruit Chopper Cutt...","Malhotra Gift House",NA,NA,"  Rs. 240.00"," +   Rs. 100.00
Delivery 
","  Rs. 240.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_1/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=0&seller=A2XEGU69DX296U","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2XEGU69DX296U&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"12","A1JWX1T4SASH8M","Ganesh Vegetable & Fruit Chopper Cutt...","Infinite Stock","4.2","1,546","  Rs. 349.00"," Free Delivery on eligible orders. Details 
","  Rs. 349.00 Free Delivery on eligible orders. Cash on Delivery eligible ","83% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/277-6532678-3332021?ie=UTF8&asin=B00IAPD2X4&isAmazonFulfilled=1&seller=A1JWX1T4SASH8M","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A1JWX1T4SASH8M&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
