"","Seller_ID","Rating","Review","Reviewer_Date"
"1","ADRSR1T7JUIYC","3/5:","""Good qua;ity"""," Mukundan, 1 February 2016"
"2","ADRSR1T7JUIYC","4/5:","""N/A"""," siddharth, 17 January 2016"
"3","ADRSR1T7JUIYC","3/5:","""Ok"""," Amazon Customer, 17 January 2016"
"4","ADRSR1T7JUIYC","1/5:","""The product shown in the site is much better than the product is deliver"""," vishnu , 13 January 2016"
"5","ADRSR1T7JUIYC","4/5:","""no comment."""," Amazon Customer, 31 December 2015"
"6","ADRSR1T7JUIYC","2/5:","""The item is dammaged and so I sent it on 26th december 2015"""," Amazon Customer, 28 December 2015"
"7","ADRSR1T7JUIYC","1/5:","""The ordered product has not yet been delivered."""," Sameer S., 28 December 2015"
"8","ADRSR1T7JUIYC","4/5:","""Good service"""," Praveen , 27 December 2015"
"9","ADRSR1T7JUIYC","3/5:","""expect to be a good product will be known only after using it !! it's durability"""," T g., 25 December 2015"
"10","ADRSR1T7JUIYC","2/5:","""Quality of the product is awful, it was not worth buying. Very disappointed"""," sreecharan, 19 December 2015"
"11","ADRSR1T7JUIYC","2/5:","""Not bad Rate s high"""," R.Lourdu Manickaraj, 16 December 2015"
"12","ADRSR1T7JUIYC","3/5:","""It says XL but it is actually medium size."""," Amazon Customer, 14 December 2015"
"13","ADRSR1T7JUIYC","5/5:","""Packing was v good and product is also genuine.Great seller,highly recommended."""," Milfern, 10 December 2015"
"14","ADRSR1T7JUIYC","4/5:","""product is good but small for my ninja 650"""," Arijit, 4 December 2015"
"15","ADRSR1T7JUIYC","4/5:","""Excellent service by amazon"""," Vinay Kumar BS, 27 November 2015"
"16","ADRSR1T7JUIYC","4/5:","""Excellent service by Amazon"""," Vinay Kumar BS, 27 November 2015"
"17","ADRSR1T7JUIYC","5/5:","""Exellenct service.

product quality as mentioned in advertisement."""," suman k., 26 November 2015"
"18","ADRSR1T7JUIYC","4/5:","""Great value and useful product."""," Dr Abhijit Gangopadhyay, 22 November 2015"
"19","ADRSR1T7JUIYC","3/5:","""Wrong product supplied but cash got refunded. Genuine Supplier"""," Suresh, 18 November 2015"
"20","ADRSR1T7JUIYC","5/5:","""Good service in second time"""," Suresh, 18 November 2015"
"21","ADRSR1T7JUIYC","5/5:","""excellent"""," Amazon Customer, 5 November 2015"
"22","ADRSR1T7JUIYC","5/5:","""RSKJ is very good in service and quality and specially Karamjeet sir handles customers very well. All i want to say Excellent Job and keep it up!!!!"""," Mohammed Toufeeq, 26 October 2015"
"23","ADRSR1T7JUIYC","4/5:","""product is good but I felt it would have been better if it had been a little thick. Its very thin does the work but not very satisfactorily."""," Pasang Lama, 24 September 2015"
"24","ADRSR1T7JUIYC","5/5:","""Good product worth for money"""," Amazon Customer, 22 September 2015"
"25","ADRSR1T7JUIYC","1/5:","""returned item 16days back yet to receive my money"""," satish kumar c, 18 September 2015"
"26","ADRSR1T7JUIYC","1/5:","""Product has not come"""," Phaneendra, 16 September 2015"
"27","ADRSR1T7JUIYC","5/5:","""Very good service"""," KUMAR A., 14 September 2015"
"28","ADRSR1T7JUIYC","5/5:","""The product was as described. delivery was also timely. have not tested in rainy condition but going by look at joints, it should be good."""," Anshuman, 20 August 2015"
"29","A2E4FLA5VMHWJQ","5/5:","""Excellent product ."""," Amazon Customer, 5 February 2016"
"30","A2E4FLA5VMHWJQ","5/5:","""product received in good condition"""," Srikanth K, 4 February 2016"
"31","A2E4FLA5VMHWJQ","3/5:","""Not a must-have for kitchen."""," MTN, 2 February 2016"
"32","A2E4FLA5VMHWJQ","5/5:","""very good product"""," Amazon Customer, 2 February 2016"
"33","A2E4FLA5VMHWJQ","5/5:","""We are fully satisfied with the product and the service."""," Amazon Customer, 2 February 2016"
"34","A2E4FLA5VMHWJQ","5/5:","""Lovely looking...a very good gift option..."""," Bhogayata Hemangi Bharatkumar, 2 February 2016"
"35","A2E4FLA5VMHWJQ","5/5:","""The quality was good as expected."""," Amazon Customer, 2 February 2016"
"36","A2E4FLA5VMHWJQ","5/5:","""Exelent protect. I like it."""," M D., 2 February 2016"
"37","A2E4FLA5VMHWJQ","5/5:","""Its good as always"""," Disha S., 1 February 2016"
"38","A2E4FLA5VMHWJQ","4/5:","""Item worth for Rs.129/-  Item material is also good."""," MANIMOZHI.G ISRO, 1 February 2016"
"39","A2E4FLA5VMHWJQ","4/5:","""."""," Kalimuthu N, 1 February 2016"
"40","A2E4FLA5VMHWJQ","4/5:","""Black one is good, I am liking it"""," krupa, 1 February 2016"
"41","A2E4FLA5VMHWJQ","3/5:","""Average"""," Ansy .., 1 February 2016"
"42","A2E4FLA5VMHWJQ","5/5:","""The item is indeed a beautiful one, the package is nice. Again Amazon has delivered up to the right expectation for me and kudos to the seellr also."""," Ankit B., 31 January 2016"
"43","A2E4FLA5VMHWJQ","5/5:","""The product is very good easy to use.. and Amazon service is good n it's products r same one whatever thy d display on site not lik other online shop thy show one product n send some diff colour.. product quality service m satisfied wit it.."""," Sneha S., 30 January 2016"
"44","A2E4FLA5VMHWJQ","5/5:","""Excellent product, will recommend."""," Vineeth , 30 January 2016"
"45","A2E4FLA5VMHWJQ","4/5:","""Useful product"""," Amazon Customer, 30 January 2016"
"46","A2E4FLA5VMHWJQ","4/5:","""Good product."""," Mary A., 29 January 2016"
"47","A2E4FLA5VMHWJQ","5/5:","""Original product, well packed and great value."""," Param Aggarwal, 29 January 2016"
"48","A2E4FLA5VMHWJQ","5/5:","""product is very nice"""," Guna, 28 January 2016"
"49","A2E4FLA5VMHWJQ","5/5:","""this gift set is seriously worthy."""," aarushi s., 28 January 2016"
"50","A2E4FLA5VMHWJQ","4/5:","""It is very useful item. I am satisfied with the performance"""," indu j., 28 January 2016"
"51","A2E4FLA5VMHWJQ","3/5:","""where is the product"""," FOUZIA , 27 January 2016"
"52","A2E4FLA5VMHWJQ","5/5:","""nice delivery i loved it.............love you amazon"""," SUSHMITA DAS, 27 January 2016"
"53","A2E4FLA5VMHWJQ","4/5:","""no comments its a nice product as a gift"""," Amazon Customer, 27 January 2016"
"54","A2E4FLA5VMHWJQ","4/5:","""Bang for the buck.Easy to use and clean. Serves the purpose !"""," Karthic Vijay D, 27 January 2016"
"55","A2E4FLA5VMHWJQ","2/5:","""Hi, I Received Tosaa 12 cavity Appam Patra with side handle on 25.01.2016 at 5.00 PM it was damaged. Please replace it immidiatly

Order # 171-1873455-0636319"""," mahesh , 27 January 2016"
